Plant,gid,Brix,Dry_matter,a,Time_processed
GS1_79.05,GS1_79,13.8,14.2287234043,33.0567575317,10
GS1_79.06,GS1_79,12.5,16.254180602,30.6146060478,10
GS1_80.01,GS1_80,11.9,16.9375,28.9813417197,1
GS1_80.02,GS1_80,9.3,11.2551159618,29.4877111243,1
GS1_80.03,GS1_80,10.9,16.1680458307,26.7684391759,1
GS1_80.04,GS1_80,11.5,15.9898477157,29.9551580211,1
GS1_80.05,GS1_80,10.7,19.2704748796,25.6189455098,1
GS1_80.06,GS1_80,10.7,13.1193300768,28.9714229118,1
GS1_81.01,GS1_81,11.6,12.5566343042,28.365519606,7
GS1_81.02,GS1_81,9.8,13.7795275591,25.9263549787,7
GS1_81.03,GS1_81,10,13.597359736,27.336083647,7
GS1_81.04,GS1_81,11.6,13.8221933809,29.1386036236,7
GS1_81.05,GS1_81,12.1,14.7713226205,28.1377542489,7
GS1_81.06,GS1_81,11.8,15.1746031746,28.1344534467,7
GS1_82.01,GS1_82,12.1,18.022121015,24.5889707928,6
GS1_82.02,GS1_82,13.1,15.4911838791,26.5792472039,6
GS1_82.03,GS1_82,9.6,13.8728323699,25.5494452732,6
GS1_82.04,GS1_82,11.5,16.3021868787,23.7273613548,6
GS1_82.05,GS1_82,13.1,17.5449871465,24.0880148521,6
GS1_82.06,GS1_82,12.2,18.0051813472,22.5290276763,6
GS1_83.01,GS1_83,12.4,18.988173456,29.4640375217,13
GS1_83.02,GS1_83,11.7,14.3236074271,30.1024778499,13
GS1_83.03,GS1_83,11.8,14.304041052,30.388858684,13
GS1_83.04,GS1_83,12.7,18.8786373314,29.330672522,13
GS1_83.05,GS1_83,11.8,14.5643693108,32.1984341858,13
GS1_83.06,GS1_83,11.2,13.0714285714,31.0620471452,13
GS1_84.01,GS1_84,9.9,15.2131147541,21.1826573759,1
GS1_84.01,GS1_84,12.2,15.4150197628,24.3806421244,6
GS1_84.02,GS1_84,13.2,14.4206549118,24.7606745517,1
GS1_84.02,GS1_84,10.3,13.3377571334,24.052893715,6
