FruitID,Weight,Length,Width,X,Y,Z,CWD_date,FruitID,Brix,Brix_date,FruitID,DM,DM_date
GS1_131.01,636.2,16,9,50.423,43.615,6.224,2,GS1_131.01,12,2,GS1_131.01,15.564738292011,2
GS1_131.02,319.2,11,7.5,51.157,43.591,5.842,2,GS1_131.02,11.1,2,GS1_131.02,16.8241965973535,2
GS1_131.03,551.4,14,9,47.726,40.563,5.541,2,GS1_131.03,8.2,2,GS1_131.03,10.9022556390977,2
GS1_131.04,584.8,16,8.5,49.39,41.434,5.263,2,GS1_131.04,11.5,2,GS1_131.04,12.992125984252,2
GS1_131.05,552.9,15,8,51.38,43.358,5.247,2,GS1_131.05,12.7,2,GS1_131.05,14.5631067961165,2
GS1_131.06,539.1,15.5,9,46.457,39.379,4.899,2,GS1_131.06,9.5,2,GS1_131.06,11.7063492063492,2
GS1_132.01,632.3,14.5,10,47.559,39.203,4.429,8,GS1_132.01,10,7,GS1_132.01,12.7906976744186,8
GS1_132.02,494.7,14.5,9.5,47.232,38.754,4.32,8,GS1_132.02,12.3,7,GS1_132.02,16.6112956810631,8
GS1_132.03,385.4,13.5,8.5,49.033,40.685,4.504,8,GS1_132.03,10.2,7,GS1_132.03,18.2148040638607,8
GS1_132.04,410.2,12.5,9,48.944,40.759,4.274,8,GS1_132.04,11.8,7,GS1_132.04,15.4371584699454,8
