EntryID,Weight,Length,Width,X,Y,Z
18-3723_Rep1_12.6,797,15.5,10.5,44.485,38.219,5.26
18-3724_Rep2_6.1,954.3,16.5,10.5,44.474,37.549,6.606
18-3724_Rep2_6.2,937.2,17,11,43.34,36.855,7.067
18-3724_Rep2_6.3,721.7,15.5,9.5,42.173,35.786,5.598
18-3724_Rep2_6.4,691.9,15,10,46.657,40.628,6.819
18-3724_Rep2_2.1,492.9,14,9,43.047,36.526,5.788
18-3724_Rep2_2.2,693.2,16,9.5,43.236,37.372,6.792
18-3724_Rep2_2.3,659.6,15.5,9.5,43.651,37.201,5.752
18-3724_Rep2_3.1,295,12,7,38.612,31.457,3.221
18-3724_Rep2_3.2,782.9,14,9.5,41.355,33.824,3.703
18-3724_Rep2_3.3,636.9,14.5,9,42.473,35.644,4.508
18-3724_Rep2_3.4,565.4,14,8,44.445,38.557,6.258
18-3724_Rep2_3.5,497.7,13,7.5,43.954,36.743,4.823
18-3724_Rep2_3.6,629.7,15,9.5,46.567,41.459,5.757
18-3724_Rep2_1.1,946.3,16.5,10,44.376,37.871,5.928
18-3724_Rep2_1.2,654.1,14,9,43.137,36.82,5.989
18-3724_Rep2_1.3,735.7,15,9,45.645,39.722,7.447
18-3724_Rep2_1.4,527.8,15.5,8.5,40.153,33.859,4.543
18-3724_Rep2_5.1,1139.9,18.5,10.5,44.271,38.213,6.412
18-3724_Rep2_5.2,1257,17.5,12,44.367,38.225,5.749
18-3724_Rep2_5.3,973.5,16.5,11,45.042,38.863,6.823
18-3724_Rep2_4.1,855.7,16.5,10,45.455,39.62,6.097
18-3724_Rep2_4.2,514.7,13.5,8,45.105,38.876,7.672
18-3724_Rep2_4.3,926.1,17.5,10,45.09,38.806,6.792
18-3724_Rep2_4.4,900.5,18,9,42.052,35.014,6.862
18-3724_Rep2_4.5,1053,20,10.5,41.639,34.488,5.137
18-3724_Rep2_4.6,728,15.5,10.5,44.302,37.928,5.775
18-3725_Rep3_11.3,473,14.5,8.5,39.984,32.155,3.067
18-3725_Rep3_11.4,385.4,13,8,39.189,32.047,3.403
18-3725_Rep3_11.5,207.9,11.5,7,35.894,29.147,2.768
18-3725_Rep3_11.6,358.2,12.5,7,40.45,33.451,4.346
18-3725_Rep3_13.1,782,16,9.5,40.377,33.065,3.318
18-3725_Rep3_13.2,639.3,14.5,9,46.541,41.436,8.338
18-3725_Rep3_13.3,697.7,16.5,10,41.635,34.77,3.751
18-3725_Rep3_13.4,533.5,15,9,41.732,34.806,4.184
18-3725_Rep3_13.5,403.2,12.5,8,41.688,34.899,4.279
18-3725_Rep3_13.6,435.2,14.5,8,40.551,34.435,4.344
18-3725_Rep3_2.1,452.8,11,8.5,42.488,36.489,5.073
18-3725_Rep3_2.2,324.6,12,8,39.429,33.512,4.153
18-3725_Rep3_2.3,437.5,11,9,42.499,36.466,4.357
18-3725_Rep3_2.4,472,12,8.5,44.056,38.359,5.728
18-3725_Rep3_2.5,364.2,11,8.5,42.136,36.301,4.595
18-3725_Rep3_2.6,329.1,11,7.5,45.017,39.866,9.383
18-3725_Rep3_3.1,659.7,12.5,10,41.138,34.803,3.865
18-3725_Rep3_3.2,558.9,12.5,9.5,45.089,38.651,5.302
18-3725_Rep3_3.3,385.6,11,8.5,45.865,39.463,5.996
18-3725_Rep3_3.4,582,11.5,10,42.673,36.144,4.384
18-3725_Rep3_3.5,637.9,11.5,10,43.804,37.343,4.947
18-3725_Rep3_3.6,292.2,9.5,7.5,42.329,35.556,3.683
18-3725_Rep3_16.1,606.1,12,10,38.235,31.269,4.441
18-3725_Rep3_16.2,573.6,13,7,40.021,32.975,3.214
18-3725_Rep3_16.3,754.3,14,11,39.196,32.162,3.747
18-3725_Rep3_16.4,528.9,12.5,8.5,41.521,34.328,4.319
18-3725_Rep3_16.5,595.9,12.5,9.5,42.687,35.455,4.107
18-3723_Rep2_1.1,651.6,13.5,9,45.692,39.028,6.573
18-3723_Rep2_1.2,412.4,12.5,8,46.374,39.951,8.694
18-3723_Rep2_1.3,553.1,16,8.5,43.452,37.607,5.989
18-3723_Rep2_1.4,521.3,14,8,41.41,34.868,3.706
18-3723_Rep2_1.5,677.2,13.5,10,43.065,36.704,5.109
18-3723_Rep2_4.1,415.9,12,8.5,50.139,47.007,9.451
18-3723_Rep2_4.2,1106.9,16,11,45.336,39.567,6.342
18-3723_Rep2_5.1,628.7,14.5,9,45.485,38.672,5.009
18-3723_Rep2_5.2,608.4,13.5,9.5,44.358,37.087,4.427
18-3723_Rep2_5.3,844.2,15,10,38.746,31.427,3.174
18-3723_Rep2_5.4,833.3,15.5,10,41.235,33.873,3.938
18-3723_Rep2_5.5,659.2,15,9.5,42.604,35.508,4.853
18-3723_Rep2_5.6,550.2,14,8.5,43.239,36.601,4.975
18-3723_Rep2_6.1,518.2,15,8.5,44.299,38.264,6.544
18-3723_Rep2_6.2,551,16,9,42.008,37.31,7.583
18-3723_Rep2_6.3,377.9,13,8.5,39.335,32.885,3.895
18-3723_Rep2_6.4,569.7,15,9,45.356,39.967,7.688
18-3723_Rep2_6.5,184.9,11,6,44.105,37.653,6.795
18-3723_Rep2_6.6,347.5,14,7.5,40.629,35.533,5.479
18-3723_Rep2_3.1,724.8,15.5,9.5,41.298,34.977,4.654
18-3723_Rep2_3.2,713.4,15,8.5,44.371,38.442,7.662
18-3723_Rep2_3.3,731.5,16.5,9,43.029,36.879,4.985
18-3723_Rep2_2.1,727.9,19,9.5,46.453,40.76,5.454
18-3723_Rep2_2.2,879.9,17,9,48.552,42.839,8.004
18-3723_Rep2_2.3,655.3,16.5,10,44.853,38.786,6.201
18-3723_Rep2_2.4,997.8,17.5,9.5,49.627,44.024,10.049
18-3723_Rep1_1.1,239.8,11,7,51.103,46.285,7.543
18-3723_Rep1_1.2,596.6,15,8.5,36.468,29.481,3.196
18-3723_Rep1_1.3,620.8,14.5,8.5,37.991,30.843,3.632
18-3723_Rep1_1.4,343.4,12.5,7,41.129,33.771,3.893
18-3723_Rep1_1.5,731.6,15.5,9,43.014,36.239,5.838
18-3723_Rep1_2.1,694.2,15.5,9,42.915,35.689,4.467
18-3723_Rep1_2.2,841.2,16,10,47.38,41.1,7.019
18-3723_Rep1_2.3,788,16.5,9.5,44.521,38.769,6.949
