FruitID,Weight,Length,Width,Ripeness,X,Y,Z
GS3_176.9,852.8,18.5,9.5,ripeness,45.88,40.646,7.861
GS3_176.10,498.6,15.5,8.5,ripeness,44.746,39.75,7.065
GS3_91.1,540.5,14,9,ripeness,42.803,37.629,5.434
GS3_91.2,633.9,14.5,9.5,ripeness,40.626,35.154,4.271
GS3_91.3,559,15,9.5,ripeness,42.552,37.163,4.685
GS3_91.4,716.5,15.5,9.5,ripeness,40.682,34.709,4.548
GS3_91.5,633,16,9,ripeness,39.932,34.443,4.744
GS3_91.6,534.1,14,8.5,ripeness,40.925,35.268,4.584
GS3_91.7,686.5,17,9,ripeness,41.298,35.689,5.62
GS3_91.8,765.6,16.5,10,ripeness,42.082,37.215,4.858
GS3_91.9,627.5,15.5,9,ripeness,40.872,35.263,5.045
GS3_91.10,466.6,15.5,7.5,ripeness,39.488,33.746,4.84
GS3_155.1,823.6,15,9.5,ripeness,42.124,35.903,5.303
GS3_155.2,688.9,16,8.5,ripeness,42.074,35.842,5.426
GS3_155.3,658.9,16,8,Quarter,41.157,34.611,4.708
GS3_155.4,671.8,16,9.5,Quarter,42.184,35.944,5.505
GS3_155.5,607,15,8.5,Quarter,41.582,35.317,5.694
GS3_155.6,587.8,15,8,ripeness,40.877,34.808,5.665
GS3_155.7,427,15.5,6.5,ripeness,40.115,33.805,4.788
GS3_155.8,497.5,14,8,Quarter,38.498,32.204,5.112
GS3_155.9,467.3,17.5,7.5,ripeness,41.631,34.938,5.042
GS3_155.10,733.9,15.5,8.5,Quarter,41,34.262,4.764
GS3_40.1,742.6,14,9.5,ripeness,39.799,32.986,3.502
GS3_40.2,609.8,13.5,9,ripeness,39.373,33.053,4.099
GS3_40.3,844.4,15.5,10.5,ripeness,38.348,31.544,3.19
GS3_40.4,822.1,14.5,9,Quarter,39.959,33.298,3.815
GS3_40.5,542.8,13,9.5,ripeness,37.966,31.8,3.48
GS3_40.6,523.9,13,8.5,Quarter,38.645,32.39,3.466
GS3_40.7,675.9,15.5,10,ripeness,36.412,29.645,3.041
GS3_40.8,512.7,12.5,8.5,ripeness,39.443,33.452,3.764
GS3_40.9,551.9,11.5,8.5,ripeness,38.487,31.716,3.299
GS3_40.10,608.1,15,9,ripeness,38.23,31.852,3.618
GS3_175.1,772.9,16,10,ripeness,40.822,34.954,4.556
GS3_175.2,829,16.5,9.5,ripeness,42.069,36.375,4.551
GS3_175.3,812.7,17,10,ripeness,40.688,34.121,3.914
GS3_175.4,895,16,10.5,ripeness,40.864,35.048,4.29
GS3_175.5,499.2,13.5,8,ripeness,43.797,39.197,4.67
GS3_175.6,351.6,13,7.5,ripeness,45.485,40.223,4.207
GS3_175.7,951.2,17,10.5,ripeness,41.204,35.863,5.034
GS3_175.8,751.7,16.5,9.5,ripeness,38.447,32.499,4.078
GS3_175.9,869.4,17.5,10,ripeness,39.121,33.07,3.946
GS3_175.10,864.7,16.5,10,ripeness,41.873,36.191,5.085
GS3_79.1,423.7,11.5,9,ripeness,40.379,33.299,4.658
GS3_79.2,509.1,12.5,9,ripeness,41.707,34.91,5.027
GS3_79.3,597.3,15,9.5,ripeness,41.477,34.765,4.732
GS3_79.4,472.5,13,8,ripeness,41.333,34.921,5.606
GS3_79.5,658.6,16,9.5,ripeness,49.455,45.943,7.315
GS3_79.6,475.8,14,8.5,ripeness,52.56,50.555,9.903
GS3_79.7,613.5,15,9,ripeness,41.465,35.171,5.644
GS3_169.1,872.6,16,9.5,Quarter,39.852,34.016,4.994
GS3_169.2,747.7,16,9.5,half,39.104,33.462,4.117
GS3_169.3,856.5,15.5,10,Quarter,41.683,35.365,5.237
GS3_169.4,638.7,13,10,ripeness,39.982,34.331,5.057
GS3_169.5,609.5,14.5,8.5,Quarter,40.585,34.216,4.171
GS3_169.6,770.3,14.5,9.5,Quarter,41.983,36.174,5.526
GS3_169.7,579.6,13.5,9,ripeness,39.458,33.766,4.342
GS3_169.8,871.1,15.5,9.5,half,40.027,33.82,4.023
GS3_169.9,635.1,14.5,8.5,Quarter,41.255,34.606,4.803
GS3_169.10,1048.3,16.5,10.5,ripeness,40.881,34.387,4.789
GS3_77.1,548,13,8.5,ripeness,39.758,33.674,3.954
GS3_77.2,633,13,10,ripeness,42.746,37.37,5.37
GS3_77.3,587.5,13.5,9,ripeness,43.952,38.535,6.482
GS3_77.4,525.8,13.5,8,ripeness,39.644,33.879,4.896
GS3_77.5,460.5,12.5,8,ripeness,40.874,35.314,4.614
GS3_77.6,596.7,14,9.5,ripeness,41.226,35.274,4.728
GS3_77.7,577.1,14,9,ripeness,40.436,34.794,4.254
GS3_77.8,659.2,13.5,9.5,ripeness,44.514,39.442,6.195
GS3_77.9,840.1,14.5,10.5,ripeness,43.091,37.348,5.908
GS3_77.10,494.3,14.5,8,ripeness,44.504,39.555,5.108
GS3_82.1,608.7,19,9,ripeness,41.36,35.089,4.194
GS3_82.2,649.8,19,8.5,ripeness,43.65,38.32,5.093
GS3_82.3,513.3,17,9,ripeness,39.166,33.523,4.298
GS3_82.4,630.7,16,9,ripeness,38.848,34.013,4.346
GS3_82.5,583.4,17.5,9,ripeness,41.587,36.1,5.263
GS3_82.6,523.4,17.5,8,ripeness,42.664,36.694,3.958
GS3_82.7,715.3,17.5,10,ripeness,41.947,36.13,4.734
GS3_82.8,391.5,16.5,8,ripeness,42.374,36.473,4.895
GS3_82.9,424.1,17.5,8,ripeness,42.499,36.294,5.075
GS3_173.1,784.4,15.5,9.5,ripeness,41.071,35.188,4.369
GS3_173.2,552,14.5,8.5,ripeness,38.608,32.084,3.798
GS3_173.3,710.2,17,9,ripeness,46.536,41.921,6.444
GS3_173.4,391,15,7,ripeness,47.071,42.683,6.356
GS3_173.5,381.5,13.5,7,ripeness,49.913,45.714,6.869
GS3_173.6,512.4,14,8,ripeness,37.696,31.404,3.941
GS3_173.7,828.4,18.5,10,ripeness,44.671,39.554,6.22
GS3_209.1,682.5,16.5,8,half,38.838,33.541,4.303
GS3_209.2,1023.8,18.5,10,Quarter,42.103,36.938,5.377
GS3_209.3,975.8,18,10,Quarter,41.594,36.85,5.476
GS3_209.4,658.5,18.5,8.5,ripeness,38.167,32.346,3.83
GS3_209.5,1132.8,18,10,Quarter,41.483,35.691,5.13
GS3_67.1,765.5,18,9.5,ripeness,40.672,35.034,4.312
GS3_67.2,766,18,9.5,ripeness,39.67,34.28,4.375
GS3_67.3,1000.7,19,10,ripeness,43.777,37.659,5.729
GS3_67.4,883.9,19,10,ripeness,39.169,33.126,3.813
GS3_67.5,868,18.5,10,ripeness,38.446,32.978,3.56
GS3_67.6,915.4,18,10,ripeness,40.063,33.3,3.818
GS3_67.7,517.7,16.5,8,ripeness,39.32,33.403,3.965
GS3_67.8,560.6,15.5,8.5,Quarter,36.439,30.998,3.283
GS3_67.9,521,13,8.5,Quarter,41.081,36.088,5.239
GS3_67.10,1031.1,21,10,ripeness,41.87,35.812,4.607
GS3_72.1,693.4,18,9,ripeness,37.977,32.137,4.05
GS3_72.2,389,14.5,7.5,ripeness,35.586,30.119,3.53
