FruitID,Brix,Brix_date
GS1_138.03,11.6,3
GS1_146.03,10.6,3
GS1_146.01,9.9,3
GS1_138.02,11,3
GS1_197.06,11.1,3
GS1_58.01,14.2,3
GS1_185.05,10.8,3
GS1_201.03,9.9,3
GS1_49.06,11.7,3
GS1_58.05,13,3
GS1_58.02,13.5,3
GS1_147.01,14,3
GS1_70.02,11.1,3
GS1_197.05,13.9,3
GS1_10.06,10.6,3
GS1_192.01,10.8,3
GS1_49.04,11.6,3
GS1_192.05,10.7,3
GS1_183.01,10.2,3
GS1_197.03,14.6,3
GS1_201.02,10.2,3
GS1_146.06,12,3
GS1_147.02,11.4,3
GS1_185.06,13.2,3
GS1_197.04,11.8,3
GS1_201.05,9.9,3
GS1_201.04,9.3,3
GS1_5.06,11.4,3
GS1_146.04,9.5,3
GS1_197.02,10.8,3
GS1_152.06,11.5,3
GS1_183.03,10.1,3
GS1_197.01,13.9,3
GS1_47.02,10,3
GS1_201.06,10,3
GS1_152.04,11.7,3
GS1_86.03,12.1,3
GS1_49.02,11.8,3
GS1_183.04,7.6,3
GS1_170.02,10.9,3
GS1_49.01,10.8,3
GS1_185.04,11.5,3
GS1_144.01,11.6,4
GS1_4.05,11.2,4
GS1_4.03,7.8,4
GS1_189.02,10.8,4
GS1_144.02,11.4,4
GS1_1.03,12.8,4
GS1_103.04,12.4,4
GS1_212.05,9.5,4
GS1_87.04,12.4,4
GS1_203.03,11.5,4
GS1_1.06,12.8,4
GS1_87.05,13.3,4
GS1_212.04,13.8,4
GS1_4.04,11.8,4
GS1_4.06,10.5,4
GS1_87.06,11.8,4
GS1_144.03,13,4
GS1_203.02,13.2,4
GS1_103.05,13.1,4
GS1_137.02,12.5,4
GS1_212.01,9,4
GS1_103.06,11.5,4
GS1_203.04,9.8,4
GS1_147.03,12.3,4
GS1_212.06,10.4,4
GS1_1.05,13,4
GS1_137.04,10.2,4
GS1_212.02,11.1,4
GS1_4.02,11.6,4
GS1_1.01,13.3,4
GS1_212.03,11.1,4
GS1_203.05,10,4
GS1_144.06,13.3,4
GS1_4.01,12.2,4
GS1_59.04,11,4
GS1_35.04,10.5,4
GS1_108.01,9.8,4
GS1_75.02,12.9,4
GS1_145.04,9.9,4
GS1_108.05,9.3,4
GS1_75.03,11.8,4
GS1_59.06,9.4,4
GS1_59.05,10.7,4
GS1_35.03,9.7,4
GS1_87.02,11.9,4
GS1_108.03,11.4,4
GS1_75.06,11.3,4
GS1_75.04,11.5,4
GS1_1.04,12,4
GS1_172.05,7.7,4
GS1_145.02,11.9,4
GS1_59.03,11.4,4
GS1_145.05,10.8,4
GS1_106.02,10.8,4
GS1_211.05,12,4
GS1_87.03,10.6,4
GS1_211.01,11.6,4
GS1_145.06,10.5,4
GS1_137.01,11.8,4
GS1_103.01,12.7,4
GS1_137.03,12,4
GS1_211.06,12.7,4
GS1_144.04,11.3,4
GS1_103.03,11.4,4
GS1_106.03,8.5,4
GS1_103.02,11.4,4
GS1_145.03,11,4
GS1_1.02,10.7,4
GS1_203.01,14.2,4
GS1_87.01,11.4,4
GS1_106.04,11.1,4
GS1_189.01,11.3,4
GS1_172.02,11.2,4
GS1_108.02,11.7,4
GS1_66.05,12,6
GS1_118.05,12.9,6
GS1_172.04,13.3,6
GS1_53.03,11.1,6
GS1_119.02,11.7,6
GS1_119.06,12.1,6
GS1_119.04,11.8,6
GS1_118.04,9.5,6
GS1_53.02,11.6,6
GS1_36.04,11.7,6
GS1_53.04,11.8,6
GS1_66.06,13.1,6
GS1_52.03,12,6
GS1_163.03,12.8,6
GS1_39.06,12.3,6
GS1_31.01,8.8,6
GS1_118.06,11.8,6
GS1_53.01,10.7,6
GS1_45.01,12.2,6
GS1_20.02,11.2,6
GS1_159.03,11.8,6
GS1_163.02,12.7,6
GS1_52.01,12.2,6
GS1_163.06,12.7,6
GS1_118.03,11.4,6
GS1_55.05,12.4,6
GS1_198.03,12.4,6
GS1_66.04,12.6,6
GS1_159.04,13.1,6
GS1_164.02,11.7,6
GS1_31.02,11.1,6
GS1_45.03,11.7,6
GS1_38.02,11.9,6
GS1_55.03,11.7,6
GS1_163.05,11.4,6
GS1_75.01,11.2,6
GS1_20.03,12.6,6
GS1_55.06,10.3,6
GS1_189.03,9.1,6
GS1_66.01,11.4,6
GS1_5.01,11.4,6
GS1_86.04,12.2,6
GS1_31.04,12.4,6
GS1_55.02,8.9,6
GS1_55.01,10.9,6
GS1_157.02,11,6
GS1_20.04,14.4,6
GS1_159.01,9.2,6
GS1_159.02,11.2,6
GS1_172.06,11.7,6
GS1_20.05,12.1,6
GS1_164.05,12.1,6
GS1_137.06,10.7,6
GS1_63.03,13,6
GS1_163.04,12.6,6
GS1_31.03,11.7,6
GS1_53.06,11,6
GS1_159.06,10.2,6
GS1_38.03,12,6
GS1_76.04,12.6,6
GS1_45.02,12.8,6
GS1_198.01,11.8,6
GS1_36.06,10.3,6
GS1_35.06,12.7,6
GS1_63.06,11.3,6
GS1_63.05,11.9,6
GS1_36.01,12.9,6
GS1_119.03,11.2,6
GS1_157.06,10.7,6
GS1_39.01,12.6,6
GS1_38.04,10,6
GS1_52.02,12.8,6
GS1_156.03,12.2,6
GS1_118.01,11.4,6
GS1_31.05,10.8,6
GS1_76.06,12.1,6
GS1_156.01,11.8,6
GS1_119.05,12.1,6
GS1_20.01,11.7,6
GS1_164.06,11.4,6
GS1_66.03,14.5,6
GS1_189.04,10.6,6
GS1_157.03,11.4,6
GS1_39.04,14.8,6
GS1_189.06,10.2,6
GS1_45.06,9.7,6
GS1_159.05,13.4,6
GS1_20.06,12.8,6
GS1_156.05,12.6,6
GS1_119.01,8.9,6
GS1_66.02,11.6,6
GS1_156.06,13.1,6
GS1_156.02,9.7,6
GS1_211.04,12,6
GS1_156.04,12.6,6
GS1_157.05,11.8,6
GS1_157.01,11.8,6
GS1_39.02,14.7,6
GS1_53.05,12.4,6
GS1_36.03,12.2,6
GS1_39.05,10,6
GS1_75.05,12.1,6
GS1_55.04,11.1,6
GS1_198.02,11.3,6
GS1_157.04,10.8,6
GS1_164.04,12.2,6
GS1_31.06,9.4,6
GS1_106.01,11.1,6
GS1_201.01,9.2,6
GS1_38.05,10.9,6
GS1_144.05,11.8,6
GS1_35.02,10.5,6
GS1_164.03,11.7,6
GS1_59.01,11.7,6
GS1_36.02,11.8,6
GS1_76.03,13.5,6
GS1_52.06,12,6
GS1_163.01,11.6,6
GS1_108.06,12.5,6
GS1_63.02,12.6,6
GS1_52.04,11.9,6
GS1_35.05,8.9,6
