EntryID,Wet
18-3725_Rep2_3.2,31.21
18-3725_Rep2_3.4,24.71
18-3725_Rep2_3.3,24.89
18-3725_Rep2_7.1,29.22
18-3725_Rep2_7.2,27.14
18-3725_Rep2_4.6,25.18
18-3725_Rep2_7.4,24.09
18-3725_Rep2_7.6,21.62
18-3725_Rep2_4.4,30.67
18-3725_Rep2_4.1,26.68
18-3725_Rep2_7.5,24.67
18-3725_Rep2_7.3,29.68
18-3723_Rep2_10.6,37.98
18-3723_Rep2_10.5,29.83
18-3723_Rep2_15.2,32.31
18-3723_Rep3_13.3,29.3
18-3723_Rep2_15.4,32.71
18-3723_Rep2_15.5,37.57
18-3723_Rep2_10.3,34.35
18-3723_Rep3_13.4,27.5
18-3723_Rep2_10.4,35.17
18-3723_Rep3_13.1,37.97
18-3723_Rep2_10.2,31.07
18-3725_Rep2_4.3,38.46
18-3725_Rep2_5.4,39.28
18-3723_Rep2_15.1,30.14
18-3723_Rep3_14.4,34.7
18-3723_Rep3_13.2,36.3
18-3725_Rep2_4.2,34.72
18-3723_Rep3_14.3,30.61
18-3723_Rep2_18.3,32.32
18-3725_Rep2_5.1,29.08
18-3725_Rep2_4.5,32.44
18-3723_Rep3_14.6,41.63
18-3723_Rep2_18.5,39.44
18-3725_Rep2_5.3,41.41
18-3723_Rep2_10.1,31.7
18-3725_Rep2_5.6,36.32
18-3725_Rep2_5.2,32.18
18-3725_Rep2_5.5,36.77
18-3723_Rep3_8.4,31.98
18-3723_Rep3_8.3,38.12
18-3723_Rep3_8.2,33.3
18-3723_Rep3_10.1,39.21
18-3723_Rep3_12.2,38.39
18-3723_Rep3_12.1,27.97
18-3723_Rep3_8.5,35.29
18-3723_Rep3_10.2,25.2
18-3723_Rep3_10.3,28.38
18-3723_Rep3_8.6,40.66
18-3723_Rep3_11.4,38.03
18-3723_Rep3_8.1,40.18
18-3723_Rep3_11.5,38.41
18-3723_Rep3_11.1,34.18
18-3723_Rep3_11.2,24.25
18-3723_Rep3_11.3,33.8
18-3724_Rep1_2.2,38.51
18-3724_Rep1_2.5,35.74
18-3723_Rep3_5.1,37.66
18-3723_Rep3_2.3,29.66
18-3723_Rep3_3.1,31.25
18-3723_Rep3_2.1,27.4
18-3724_Rep1_2.4,31.92
18-3724_Rep1_6.2,31.62
18-3723_Rep3_3.6,27.64
18-3723_Rep3_2.2,23.64
18-3724_Rep1_6.1,34.02
18-3723_Rep3_3.5,32.16
18-3723_Rep3_3.2,29.59
18-3723_Rep3_5.6,26.75
18-3723_Rep3_5.5,33.39
18-3723_Rep3_5.2,31.92
18-3724_Rep1_2.3,30.81
18-3723_Rep3_5.3,26.35
18-3724_Rep1_2.6,30.56
18-3723_Rep3_3.4,31.62
18-3723_Rep3_3.3,28.82
18-3723_Rep3_5.4,31.56
18-3724_Rep1_6.6,42.17
18-3724_Rep1_6.4,35.65
18-3724_Rep1_1.2,NA
18-3724_Rep1_1.1,28.59
18-3724_Rep1_6.5,33.95
18-3724_Rep1_6.3,31.11
18-3724_Rep1_4.1,33.7
18-3724_Rep1_4.2,30.73
18-3724_Rep1_4.3,25.2
18-3724_Rep1_4.4,29.51
18-3724_Rep1_2.1,34.66
18-3724_Rep1_3.1,29.96
18-3725_Rep2_11.1,32.4
18-3724_Rep1_3.2,34.49
18-3725_Rep2_11.2,34.73
18-3725_Rep2_11.3,30.28
18-3725_Rep2_13.3,24.94
18-3725_Rep2_13.2,32.87
18-3724_Rep1_3.3,26.21
18-3724_Rep1_3.4,28.02
